condition,conv_id,turn_index,n_turns,cosine_semanticL
C4-P0,4330,18,32,0.7700523525865962
C4-P0,4330,19,32,0.7313036478612367
C4-P0,4330,20,32,0.6670368073414783
C4-P0,4330,21,32,0.7630081212911417
C4-P0,4330,22,32,0.7518738391222108
C4-P0,4330,23,32,0.8301839187985705
C4-P0,4330,24,32,0.779016031952742
C4-P0,4330,25,32,0.7175621726633189
C4-P0,4330,26,32,0.7686504454424371
C4-P0,4330,27,32,0.7967488331334414
C4-P0,4330,28,32,0.7754532599255858
C2-P0,4330,0,32,0.6693380140788096
C2-P0,4330,1,32,0.7037863009571649
C2-P0,4330,2,32,0.548906075297879
C2-P0,4330,3,32,0.7522500805763322
C2-P0,4330,4,32,0.731978914744098
C2-P0,4330,5,32,0.7296260813936049
C2-P0,4330,6,32,0.7423040793076873
C2-P0,4330,7,32,0.7768502750938218
C2-P0,4330,8,32,0.7648637648456919
C2-P0,4330,9,32,0.6312921380604835
C2-P0,4330,10,32,0.5868320138881441
C2-P0,4330,11,32,0.6883948883520468
C2-P0,4330,12,32,0.8262019079881215
C2-P0,4330,13,32,0.7875038089323022
C2-P0,4330,14,32,0.742589966383442
C2-P0,4330,15,32,0.8165245749182894
C2-P0,4330,16,32,0.8017093788547636
C2-P0,4330,17,32,0.8099011762794914
C2-P0,4330,18,32,0.7831304723472065
C2-P0,4330,19,32,0.66123414585392
C2-P0,4330,20,32,0.5612218456905598
C2-P0,4330,21,32,0.8241019410307322
C2-P0,4330,22,32,0.698553766435275
C2-P0,4330,23,32,0.7745040810053989
C2-P0,4330,24,32,0.7676799643160753
C2-P0,4330,25,32,0.7163909124205784
C2-P0,4330,26,32,0.7358402627357049
C2-P0,4330,27,32,0.7190417883804348
C2-P0,4330,28,32,0.8247628705723982
C2-P2,2451,0,32,0.8202970542326515
C2-P2,2451,1,32,0.36945365432861743
C2-P2,2451,2,32,0.5241692537136653
C2-P2,2451,3,32,0.6494177833793388
C2-P2,2451,4,32,0.6314401703674013
C2-P2,2451,5,32,0.5349883181039439
C2-P2,2451,6,32,0.5466830235743312
C2-P2,2451,7,32,0.6247768746835108
C2-P2,2451,8,32,0.6435891693043045
C2-P2,2451,9,32,0.6658116582099887
C2-P2,2451,10,32,0.6331599016380606
C2-P2,2451,11,32,0.5280746500081394
C2-P2,2451,12,32,0.49373911735631837
C2-P2,2451,13,32,0.6412354578829812
C2-P2,2451,14,32,0.46893166845011636
C2-P2,2451,15,32,0.5989636752444666
C2-P2,2451,16,32,0.6575473849561954
C2-P2,2451,17,32,0.6485514637709582
C2-P2,2451,18,32,0.0
C2-P2,2451,19,32,0.0
C2-P2,2451,20,32,0.7497452021179629
C2-P2,2451,21,32,0.7547803199099077
C2-P2,2451,22,32,0.6269220471187633
C2-P2,2451,23,32,0.5728864412463748
C2-P2,2451,24,32,0.7592334750877353
C2-P2,2451,25,32,0.5974578634309637
C2-P2,2451,26,32,0.4963786494681428
C2-P2,2451,27,32,0.753677162916555
C2-P2,2451,28,32,0.555793682994975
C2-P0,4329,0,32,0.603912527329237
C2-P0,4329,1,32,0.5884842431379294
C2-P0,4329,2,32,0.6989220035579821
C2-P0,4329,3,32,0.5802985351362359
C2-P0,4329,4,32,0.6835738815027363
C2-P0,4329,5,32,0.750843804376015
C2-P0,4329,6,32,0.606858584565513
C2-P0,4329,7,32,0.7117518259992043
C2-P0,4329,8,32,0.7386202741928042
C2-P0,4329,9,32,0.7208560656363079
C2-P0,4329,10,32,0.8332698494626448
C2-P0,4329,11,32,0.8014094941755118
C2-P0,4329,12,32,0.748395173282081
C2-P0,4329,13,32,0.7261431798450882
C2-P0,4329,14,32,0.7176502041409513
C2-P0,4329,15,32,0.7433294730283299
C2-P0,4329,16,32,0.6924129403507473
C2-P0,4329,17,32,0.7630582339456037
C2-P0,4329,18,32,0.7726027672005389
C2-P0,4329,19,32,0.7219631529422187
C2-P0,4329,20,32,0.8593424973616745
C2-P0,4329,21,32,0.7973325877957379
C2-P0,4329,22,32,0.803567757979176
C2-P0,4329,23,32,0.7347724547322994
C2-P0,4329,24,32,0.7400992694034854
C2-P0,4329,25,32,0.9001658435184551
C2-P0,4329,26,32,0.6187241129332707
C2-P0,4329,27,32,0.5060439031510796
C2-P0,4329,28,32,0.6905959304790429
C2-P1,4619,0,32,0.5783834858243896
C2-P1,4619,1,32,0.5668176230617029
C2-P1,4619,2,32,0.5346896736723421
C2-P1,4619,3,32,0.725499002694124
C2-P1,4619,4,32,0.6051966359223794
C2-P1,4619,5,32,0.5836660732259187
C2-P1,4619,6,32,0.5775338564111114
C2-P1,4619,7,32,0.5445243295469171
C2-P1,4619,8,32,0.7033410633930736
C2-P1,4619,9,32,0.6792911577329848
C2-P1,4619,10,32,0.5104680130476422
